TSLA,MSFT,CL=F
19.593332290649414,88.4828872680664,68.56999969482422
19.994667053222656,89.88317108154297,67.25
20.07666778564453,88.47341918945312,67.93000030517578
18.963333129882812,89.00325775146484,68.43000030517578
19.606000900268555,90.0345458984375,69.72000122070312
20.184667587280273,91.03746032714844,70.7300033569336
20.131332397460938,90.64952850341797,69.05999755859375
20.456666946411133,91.71867370605469,71.13999938964844
20.334667205810547,92.63642120361328,71.36000061035156
20.070667266845703,92.43772888183594,70.69999694824219
19.46466636657715,92.74995422363281,70.95999908447266
18.94533348083496,92.07820129394531,71.30999755859375
19.09866714477539,92.31576538085938,71.48999786376953
18.96933364868164,91.39402770996094,71.48999786376953
18.454666137695312,91.56509399414062,71.27999877929688
18.965999603271484,92.74337005615234,72.23999786376953
18.333999633789062,92.64836120605469,72.12999725341797
18.60466766357422,93.75062561035156,71.83999633789062
18.523332595825195,93.41802215576172,70.70999908447266
18.59000015258789,93.46556091308594,67.87999725341797
18.917333602905273,93.13296508789062,66.7300033569336
19.447999954223633,94.02621459960938,68.20999908447266
18.98200035095215,93.92166900634766,67.04000091552734
19.454666137695312,95.7746353149414,65.80999755859375
19.78266716003418,96.61085510253906,64.75
19.408666610717773,97.10498809814453,65.5199966430664
21.299999237060547,97.39002990722656,64.7300033569336
21.07266616821289,95.86015319824219,65.94999694824219
21.17733383178711,96.57283782958984,65.73999786376953
22.139999389648438,96.02169799804688,66.0999984741211
22.851333618164062,96.26876068115234,66.36000061035156
22.985332489013672,95.8316421508789,66.63999938964844
23.847999572753906,96.37330627441406,66.88999938964844
23.878000259399414,95.14746856689453,65.05999755859375
24.722000122070312,95.84115600585938,65.8499984741211
23.503332138061523,95.84115600585938,65.06999969482422
24.148000717163086,96.8009033203125,66.22000122070312
23.167333602905273,96.10721588134766,65.54000091552734
22.242000579833984,95.41355895996094,68.58000183105469
22.200666427612305,93.49405670166016,68.08000183105469
22.799999237060547,94.14974212646484,70.52999877929688
22.96666717529297,92.68634796142578,72.76000213623047
23.32866668701172,93.72211456298828,73.44999694824219
22.863332748413086,93.70313262939453,74.1500015258789
22.33799934387207,95.03345489501953,73.94000244140625
20.724000930786133,94.12123107910156,74.13999938964844
20.610666275024414,94.79590606689453,72.94000244140625
20.593332290649414,96.126220703125,73.80000305175781
21.233999252319336,96.78189086914062,73.8499984741211
21.49799919128418,97.03845977783203,74.11000061035156
21.263999938964844,96.9054183959961,70.37999725341797
21.11400032043457,99.00546264648438,70.33000183105469
21.257999420166016,100.1837387084961,71.01000213623047
20.67333221435547,99.68963623046875,68.05999755859375
21.512666702270508,100.6778793334961,68.08000183105469
21.59000015258789,99.8891830444336,68.76000213623047
21.34866714477539,99.20500946044922,69.45999908447266
20.905332565307617,100.98194122314453,70.45999908447266
20.213333129882812,102.59735107421875,67.88999938964844
19.82866668701172,102.30278015136719,68.5199966430664
20.582666397094727,105.3150405883789,69.30000305175781
20.44333267211914,104.16524505615234,69.61000061035156
19.812000274658203,102.32179260253906,68.69000244140625
